company,status,label,debt_to_assets,debt_to_equity,net_income_margin,operating_margin,operating_cashflow_ratio,cashflow_to_debt,asset_turnover,interest_burden,retained_earnings_ratio,cash_flow_margin
Chesapeake Energy,Distressed,1.0,0.17707780959451339,0.26961998062224135,0.1500329924117453,0.203810623556582,1.5770423991726992,0.913355959273308,0.42860678049987627,0.008578027053777632,0.17074981440237566,0.3773507093368525
Bon Ton Stores,Distressed,1.0,0.39267076845633114,0.8127669880069,0.08422980837530673,0.012297902137414439,0.195994896935364,0.09424972958842173,0.2276033971122433,0.0,0.11502743584714924,0.1626035209221232
Momentive,Distressed,1.0,0.08337276937526314,0.2899640684838928,0.028532675709001233,0.043230579531442666,0.1265422077922078,0.6056012874951298,1.3132752534248793,0.00264537607891492,0.3211451889756129,0.03844636251541307
Gymboree,Distressed,1.0,0.984189241526215,-3.265773001876065,0.022002225189141078,0.013279038718291055,0.31938264979312014,0.06481942632778634,1.9425214221988616,0.0382688028482421,-0.746525592525226,0.0328411214953271
Borders Group,Distressed,1.0,0.0,0.0,-0.024477080551846907,-0.028037383177570093,0.43194464944649447,5.0,0.3365787896944278,0.0053404539385847796,0.07429598562013182,0.2604739652870494
RadioShack,Distressed,1.0,0.3859351432880845,2.9752906976744184,-0.08518024032042723,-0.07392078326657765,0.06123845364351693,0.05829669434945449,1.4121417797888387,0.00520694259012016,0.6036953242835595,0.01593235425011126
Circuit City,Distressed,1.0,0.20801164600170674,10.0,1.0,1.0,0.4532017884196135,0.5919687243592837,0.011279554239245019,0.34356920338228747,0.8482405501731841,1.0
Smurfit Stone,Distressed,1.0,0.16313108785178576,0.24293449295959588,0.5435668040023544,0.4453443201883461,0.6339003614488284,0.7973737759125016,0.2203037312890945,0.0331489111241907,0.5816692772896547,0.5904414361389052
Pacific Gas,Distressed,1.0,0.12491881561460083,1.6324463143722652,0.0035934206509572473,-0.014318733555261589,0.15551432568891052,0.21084544777131867,0.7087252609130152,0.007796804814583303,0.24406828554650073,0.03716329170967132
Washington Mutual,Distressed,1.0,0.12804261048629811,0.5977320680305644,0.4148314606741573,-0.0011159550561797753,-0.44025486135012304,-0.29855682414714396,0.1174824436348276,0.24134831460674158,0.26247425946459685,-0.3253932584269663
Patriot Coal,Distressed,1.0,0.1152040204157177,-1.8961878668604677,-0.3251419670672007,-0.21910280373831775,-0.04521446528966219,-0.06368401297015688,0.5853381011340242,0.025553627058299954,-0.1903742490831136,-0.012534045393858478
Filene's,Distressed,1.0,0.051102992834059294,0.3739589402611646,0.29565487918697503,0.0025279477341076427,1.8260847356828998,0.2752268353038218,0.04516416092923048,0.3224100383698019,0.0978033815746335,0.3114176086280203
General Motors,Distressed,1.0,0.23061440097251623,1.0842778111011304,0.029348019581664442,0.6366288384512684,0.09100825985253949,0.1857398351165438,0.10805201499937006,0.028691143747218515,0.2196994644043867,0.39642278593680463
CIT Group,Distressed,1.0,0.10045846771278995,1.0199898652780932,0.0027298120873539868,0.007737747587607923,0.2921249107632584,0.08229832285474449,0.054217593182185844,0.04431183341797867,0.024580684466136378,0.15248857287963433
Verso Corp,Distressed,1.0,0.23727456938620234,0.3052322919485826,0.00497774810858923,0.004746328437917223,1.039586245457087,0.37186,3.554373049405311,0.00010324877614597241,-0.2544690665143891,0.024823765020026704
Avaya,Distressed,1.0,0.7782960962435551,-2.434715821812596,-0.9327992879394749,-0.8366711170449488,-0.3032069970845481,-0.09842271293375394,0.5516818070218512,0.09968847352024922,-0.7564448809231524,-0.13885180240320427
Refco,Distressed,1.0,0.5905750868282831,6.286234785746346,-0.01941856549556628,-0.03691211134807498,0.3611940298507463,0.053473911943768555,0.09821338508763855,0.3010158266921091,-0.0723123470066635,0.3215484341676956
Palm Inc,Distressed,1.0,2.0,-10.0,-1.0,-1.0,-0.03527320181938208,-7.136827685289767e-05,0.0,0.0,-2.0,-1.0
JCPenney,Distressed,1.0,0.012437944264026939,0.19369889279470648,0.014490431686693369,0.010848687138406764,0.028263267542392775,0.9021369926825954,0.5424595943647936,0.04062038273253227,0.07103854818789043,0.0206849132176235
iHeartMedia,Distressed,1.0,1.6842133037574292,-1.9468089028038082,0.24303688455721728,0.18490823204316734,-0.03080112582413373,-0.02439515639869688,0.13979019171511997,0.2782194635822177,-1.070748899447336,-0.29391652196642953
Adelphia Comm,Distressed,1.0,0.21053702196908056,0.5342854684676933,0.2999705498758888,0.36627540073204595,0.9834313725490196,1.6152979066022544,0.8058380797396257,0.0047540914636711685,1.5376322213181448,0.4220202785140309
Toys R Us,Distressed,1.0,0.6948465547191662,-3.7151702786377707,-0.01602136181575434,0.20471740097908322,0.11650840029218408,0.06645833333333333,0.3252750434279097,0.20338228749443701,-0.16270990156340476,0.14196706720071206
Frontier Comm,Distressed,1.0,0.019267352812057947,0.04965118471497706,0.18945451666534716,0.0019299342886548968,1.892366199615446,3.939240506329114,0.3080581435051949,0.004196025651175679,0.40776059704404666,0.24637795898978704
Nine West,Distressed,1.0,0.09315369468581702,1.0480571686733082,0.2697595869032777,0.00021554064210368092,5.0,0.039686485261912555,0.033149380169286154,0.648390319813965,0.07670372109464443,0.11152373626179297
Caesars,Distressed,1.0,0.33702899980272244,4.008446738620366,-0.14015675426463808,0.08160442600276625,0.4881240911294232,0.11788808241629595,0.08557900966660091,0.6316274781005071,-0.4563819293746301,0.46426924850161366
Dana Holding,Distressed,1.0,0.1095030737704918,1.0178571428571428,-0.022251891410769914,0.06186025812194036,0.154776299879081,0.5988304093567252,0.28778176229508196,0.08055184690698709,0.03009733606557377,0.22785936804628393
Sunedison,Distressed,1.0,0.0,0.0,0.21678078015296434,0.30798445965957594,0.6378396593450357,5.0,0.3409281246844578,0.062335580759246674,-0.09195122385825696,0.3627415111761529
Kodak,Distressed,1.0,0.23338330834582707,0.7285491419656787,0.2463768115942029,-0.016908212560386472,-0.02681992337164751,-0.014989293361884369,0.20689655172413793,0.14251207729468598,-0.19640179910044978,-0.016908212560386472
Charming Shoppes,Distressed,1.0,0.12217541287140533,1.4280426721032005,-0.21445304850912328,-0.17238851802403204,-0.30319403046139737,-0.6201771723800124,0.6757266768291308,0.0199190031152648,0.8272157564905999,-0.11213173119715175
Conseco,Distressed,1.0,0.24681318249598153,0.5176665248508853,1.0,1.0,1.317058294851572,0.8931570693431213,0.1648391118345087,0.06867936457757054,1.200830697180863,1.0
Caterpillar,Healthy,0.0,0.329892985748339,1.0109888401877585,0.014321857106925684,0.16498246756128956,0.3211061874281963,0.360950111461296,0.6855911142668762,0.013463729305064433,0.6638738144748186,0.17368210803533118
Johnson&Johnson,Healthy,0.0,0.20801164600170674,1.2881345394634587,0.4261367249602544,0.34324324324324323,0.4532017884196135,0.5919687243592837,0.31574720144571056,0.012273449920508744,0.8482405501731841,0.38998410174880765
Boeing,Healthy,0.0,0.320076084049098,9.873120645397874,0.024982394956574228,0.0478521847020556,0.009850622022846044,0.019777893329371566,0.5317740065979136,0.010171802868224852,0.10254703242488186,0.011904362697427987
Abbott,Healthy,0.0,0.14910105751156114,0.24801457893727222,0.10372019077901432,0.12802861685214625,0.579898157129001,0.7398870755665558,0.725381430696666,0.010127186009538951,0.5740892369079608,0.1520826709062003
Microsoft,Healthy,0.0,0.06971048605580264,0.12562922332951942,1.0,1.0,0.964197198657395,3.1554772774674977,0.025911021432852507,0.18299145832034416,0.38405468147973437,1.0
Medtronic,Healthy,0.0,0.3547393106457243,0.6772134765950358,0.07411764705882352,0.09467408585055644,0.5469368739808992,0.21658851564301637,0.6860820244328097,0.011430842607313196,0.34332460732984293,0.11198728139904611
Procter&Gamble,Healthy,0.0,0.18469069160191964,0.7189841151419069,0.1895258886621423,0.24264391818138675,0.4941205835043541,0.7703316183146699,0.6730282438054476,0.008969673959470362,1.0378660235884085,0.21139243510037492
Pepsi,Healthy,0.0,0.43157757521019746,2.2714397726158975,0.08772957146659568,0.12241682193239287,0.36891099987791476,0.260771072900261,0.8745425935064572,0.01193505456481235,0.6777344295570722,0.12868778280542986
Google,Healthy,0.0,0.08245685650978278,0.1182016302842763,0.3280987796522654,0.32032638592380025,1.603124239622366,3.3556687379036365,0.6767157023321759,0.0007645791339403629,0.5443731615825131,0.40888351587246424
Pfizer,Healthy,0.0,0.01921598770176787,0.04625560849252972,0.12417903769635182,0.19803768037200978,0.31646117239887517,2.926,0.3006293235972329,0.04268204988894038,0.5505860876249039,0.18702759711724382
Visa,Healthy,0.0,0.21055537153582865,0.7934712713242804,0.9181543531996704,1.0,0.6579262725405158,1.0992515612337321,0.2192779065915866,0.0,0.15162556335130034,1.0
Texas Instruments,Healthy,0.0,0.40618765360705505,0.8632704479813188,0.07950715421303657,0.09575516693163752,2.264324153213042,0.5091828018223234,1.8187075321671244,0.014467408585055644,1.510365765505277,0.11372019077901431
Nike,Healthy,0.0,0.21763853577189096,0.6025126769091047,0.051176470588235295,0.19702702702702704,0.34999053568048455,0.4645145082276096,1.7195658711282429,0.014467408585055644,-0.019874791547062523,0.058791732909379966
3M,Healthy,0.0,0.33397821535525934,2.6801361122926415,0.13027096360429694,0.18554593554593554,0.24033350703491402,0.18298682748770037,0.6611719184798452,0.037758537758537755,1.0139135504730608,0.09243225909892576
McDonald's,Healthy,0.0,0.6716458035789297,-10.0,0.31850474242142457,0.4609633624697787,2.419399220362302,0.26395316838866234,0.4517348567588003,0.058843221127022505,1.1809123750315047,0.39244932118281567
Apple,Healthy,0.0,0.2524155093655791,1.229815686327696,1.0,1.0,0.6730744848488508,1.2294272039524472,0.1750913732007204,0.06252782193958664,-0.03970593556971504,1.0
Cisco,Healthy,0.0,0.20124947870243926,0.5253933351834853,0.7925879788227966,0.9156026160074743,0.4047741273100616,0.576693348502702,0.10502817051132135,0.03324509498598567,0.00040886083195002085,1.0
Starbucks,Healthy,0.0,0.5020284387423992,-1.9853765778227899,0.049924161745248004,0.0789739783350007,0.46496709237640055,0.2953380446413019,1.1612975761796644,0.014592140790223857,-0.2583565742339872,0.127674508664924
Amazon,Healthy,0.0,0.08414726872214386,0.16745770133677157,1.0,1.0,0.6399577991330474,2.0267592538787844,0.07689091758124889,0.05058823529411765,0.3062630036110615,1.0
UnitedHealth,Healthy,0.0,0.10505328169364399,1.002110679731312,0.026936749134766416,0.04237130977038075,0.1714318041376189,0.6056422476746868,1.4457185679999742,0.008941678005751094,0.30881417141232825,0.04400905339312326
Qualcomm,Healthy,0.0,0.29537522685120554,3.0171114279894073,0.1251241983560654,0.27899467076144885,1.5323709536307961,0.9460536088042671,0.8831541790479229,0.014994128804985999,0.41174241668827155,0.31641224821605995
IBM,Healthy,0.0,0.28085330524097973,1.3065425140896838,0.15685200266528468,0.18350484933738062,0.3412747684825909,0.3092882595648912,0.4446602580984988,0.028651810172503147,1.02480905978404,0.19535055896942327
Costco,Healthy,0.0,0.09767960673938703,0.25822932382389246,0.029425763438516175,0.03772412665540356,0.3593564729977363,1.7706811844376578,3.569890660060442,0.0005595218631351391,0.293778129418021,0.0484495067851109
Honeywell,Healthy,0.0,0.39421289070452353,2.0890391254315306,-0.01213976564974137,0.8579119603082445,0.27368241223199796,0.22061557529436068,0.12856774473744928,0.09606249340230127,0.6916844233927335,0.6764488546395018
HomeDepot,Healthy,0.0,0.5343896628138037,7.735692771084337,0.2237367021276596,0.3252840909090909,0.6911831408534245,0.3856711768714105,0.6884799051176146,0.029361097678916828,0.9314807686305517,0.29935323984526113
Berkshire,Healthy,0.0,0.02661032453590972,0.04533264382459901,0.18029097252883342,0.05405660072581601,1.311601232595298,1.4134522253824275,0.3039202209829026,0.013646740827688696,0.6244485245987484,0.12375755160939468
Intel,Healthy,0.0,0.22033401283646048,0.4076355649670549,-0.0042448330683624805,-0.03519872813990461,0.3071100554235946,0.20815713212407427,0.29749939696068184,0.01395866454689984,0.23167588173807757,0.15416534181240063
CocaCola,Healthy,0.0,0.35783658983361316,1.1659361497093474,0.2733985523873094,0.28706117936630443,0.3481039424839058,0.19750979817100808,0.45738246069302396,0.03450074049352329,0.7668867348496413,0.15452326818380926
Mastercard,Healthy,0.0,0.0003692966744834463,0.002584981258885873,0.01899911561099082,0.5762861760849013,0.7753272998857745,5.0,0.6054803626493344,0.01753529931993535,1.5701571357349926,0.5381964563447288
Walmart,Healthy,0.0,0.13802080338007,0.3955369013217892,0.028541010448100913,0.04309639713062696,0.37731922471630913,1.0123336759354427,2.610908547175671,0.0013362996248081822,0.37693378268020844,0.053515128820752295
